slice,threshold,n,n_positive,frac_one_cluster,frac_clusters_1,frac_clusters_2,frac_clusters_3,frac_clusters_4,frac_clusters_5,mean_entropy,frac_entropy_zero,mean_dispersion,frac_dispersion_clipped,mean_pairwise_distance_min,mean_pairwise_distance_median,mean_pairwise_distance_max,frac_pairwise_above_threshold,auroc_mean_pairwise_distance,auroc_any_variation,distinct_scores_reference_weight,frac_score_zero_reference_weight,frac_score_zero_positives,frac_score_zero_negatives,frac_one_cluster_positives,frac_one_cluster_negatives
model:gemma4-31b-it,0.5,2880,719,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002526227604122225,0.0,0.0,0.0,0.06055289433131171,0.0,0.9421271252491539,0.8956154075374624,679,0.63125,0.037552155771905425,0.8287829708468302,1.0,1.0
model:gemma4-31b-it,0.7,2880,719,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0018044482886587325,0.0,0.0,0.0,0.06055289433131171,0.0,0.9421271252491539,0.8956154075374624,679,0.63125,0.037552155771905425,0.8287829708468302,1.0,1.0
model:gemma4-12b-it,0.1,2880,720,0.9979166666666667,0.9979166666666667,0.0020833333333333333,0.0,0.0,0.0,0.0016769491557148567,0.9979166666666667,0.010250959498544114,0.0,0.0,0.0,0.07605098533696944,0.0,0.9657220936213992,0.9645833333333333,516,0.7149305555555555,0.018055555555555554,0.9472222222222222,0.9972222222222222,0.9981481481481481
model:gemma4-12b-it,0.2,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005125479749272057,0.0,0.0,0.0,0.07605098533696944,0.0,0.9657220936213992,0.9645833333333333,516,0.7149305555555555,0.018055555555555554,0.9472222222222222,1.0,1.0
model:gemma4-12b-it,0.35,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0029288455710126046,0.0,0.0,0.0,0.07605098533696944,0.0,0.9657220936213992,0.9645833333333333,516,0.7149305555555555,0.018055555555555554,0.9472222222222222,1.0,1.0
model:gemma4-12b-it,0.5,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0020501918997088233,0.0,0.0,0.0,0.07605098533696944,0.0,0.9657220936213992,0.9645833333333333,516,0.7149305555555555,0.018055555555555554,0.9472222222222222,1.0,1.0
model:gemma4-12b-it,0.7,2880,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0014644227855063023,0.0,0.0,0.0,0.07605098533696944,0.0,0.9657220936213992,0.9645833333333333,516,0.7149305555555555,0.018055555555555554,0.9472222222222222,1.0,1.0
model:muse-glimmer-30b,0.1,2698,720,0.9970348406226834,0.9970348406226834,0.0025945144551519643,0.00037064492216456633,0.0,0.0,0.002470547695934538,0.9970348406226834,0.05305506891049195,0.001111934766493699,0.0,0.0,0.11366931454522558,0.001111934766493699,0.2988814459049545,0.3622858386698124,1199,0.5244625648628614,0.7263888888888889,0.45096056622851366,1.0,0.9959555106167847
model:muse-glimmer-30b,0.2,2698,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.026589813046580795,0.0,0.0,0.0,0.11366931454522558,0.0,0.2988814459049545,0.3622858386698124,1199,0.5244625648628614,0.7263888888888889,0.45096056622851366,1.0,1.0
model:muse-glimmer-30b,0.35,2698,720,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015194178883760453,0.0,0.0,0.0,0.11366931454522558,0.0,0.2988814459049545,0.3622858386698124,1199,0.5244625648628614,0.7263888888888889,0.45096056622851366,1.0,1.0
