model,arm,stratum,run_id,batch_size,batch_order,n,n_failed,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90
muse-glimmer-30b,single,all,full-20260913-011717-18bf2f61,1,grouped,720,0,667,1.0,0.2698650674662669,0.23916130011126469,0.3035747354497354,0.26392961876832843,0.2764976958525346,0.3238380809595202,0.2908510927184809,0.35852132936507936,0.30402384500745155,0.3435197602182335,item_id,
muse-glimmer-30b,grouped,all,full-20260913-012755-1a8f0fb1,16,grouped,720,0,512,1.0,0.171875,0.1290261485826002,0.20969864176570457,0.15151515151515152,0.19083969465648856,0.65625,0.5625,0.7285714285714285,0.6082677165354331,0.6951439024390244,batch_id,
muse-glimmer-30b,grouped_4,all,full-20260913-012257-c0fbce99,4,grouped,720,0,640,1.0,0.140625,0.12178030303030303,0.15838888047265565,0.12178030303030303,0.15838888047265565,0.4875,0.43248370398773006,0.5432926829268292,0.43248370398773006,0.5432926829268292,batch_id,
muse-glimmer-30b,shuffled,all,full-20260913-012954-5e036edc,16,shuffled,720,0,464,1.0,0.11853448275862069,0.06696043719211822,0.17046401515151513,0.09394082724425887,0.14226627728658248,0.25862068965517243,0.15817949848790322,0.3729869257086999,0.21880892624757656,0.2941678949484121,batch_id,
muse-glimmer-30b,shuffled_4,all,full-20260913-012517-8099098c,4,shuffled,720,0,668,1.0,0.18263473053892215,0.14765233395989977,0.22204991779320424,0.1651532467185286,0.20088659510717316,0.3967065868263473,0.34241424986056884,0.4521012166418608,0.3652365583879243,0.4277303052097824,batch_id,
muse-glimmer-30b,single,weak_intent,full-20260913-011717-18bf2f61,1,grouped,180,0,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,0.7333333333333333
muse-glimmer-30b,grouped,weak_intent,full-20260913-012755-1a8f0fb1,16,grouped,180,0,128,1.0,0.6875,0.5161045943304008,0.8387945670628183,0.6060606060606061,0.7633587786259542,0.875,0.75,0.9714285714285714,0.8110236220472441,0.9268585365853659,batch_id,0.6875
muse-glimmer-30b,grouped_4,weak_intent,full-20260913-012257-c0fbce99,4,grouped,180,0,160,1.0,0.5625,0.4871212121212121,0.6335555218906226,0.4871212121212121,0.6335555218906226,0.65,0.5766449386503067,0.724390243902439,0.5766449386503067,0.724390243902439,batch_id,0.5625
muse-glimmer-30b,shuffled,weak_intent,full-20260913-012954-5e036edc,16,shuffled,180,0,108,1.0,0.46296296296296297,0.2692307692307692,0.6522247054043071,0.3714021164021164,0.5585585585585585,0.5555555555555556,0.371925313059034,0.7525192985400234,0.4608274179236912,0.6568627450980392,batch_id,0.46296296296296297
muse-glimmer-30b,shuffled_4,weak_intent,full-20260913-012517-8099098c,4,shuffled,180,0,167,1.0,0.7005988023952096,0.6093920595533499,0.7764881713554987,0.6352654232424677,0.7660818713450293,0.8203592814371258,0.7421332927571515,0.8806885822510823,0.7629855138869307,0.8713601839965768,batch_id,0.6826347305389222
qwen3.5-9b,single,all,full-20260912-103443-9aa424a0,1,grouped,720,0,720,0.7486111111111111,0.24722222222222223,0.2152777777777778,0.2777777777777778,0.24166666666666667,0.25277777777777777,0.2763888888888889,0.24305555555555555,0.30833333333333335,0.2638888888888889,0.2902777777777778,item_id,
qwen3.5-9b,grouped,all,full-20260912-103906-115d172d,16,grouped,720,0,720,1.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.11666666666666667,0.31666666666666665,0.16666666666666666,0.26666666666666666,batch_id,
qwen3.5-9b,grouped_4,all,full-20260912-103624-6ab5145f,4,grouped,720,0,720,1.0,0.001388888888888889,0.0,0.004201388888888857,0.0,0.004201388888888857,0.11388888888888889,0.07916666666666666,0.15138888888888888,0.07916666666666666,0.15138888888888888,batch_id,
qwen3.5-9b,shuffled,all,full-20260912-104023-1d4eb309,16,shuffled,720,0,720,0.8277777777777777,0.10277777777777777,0.05694444444444444,0.15559027777777776,0.08333333333333333,0.12222222222222222,0.4263888888888889,0.3263888888888889,0.5166666666666667,0.39305555555555555,0.45416666666666666,batch_id,
