model,dataset,variant,source_modality,text_modality,n,n_strict,n_heuristic,n_frame_only,n_escalation,source_readable_n,strict_percentage
glm-5.3,mlm_tapt,shall,nice_to_have,recommended,10,10,0,0,10,180,5.555555555555555
glm-5.3,mlm_tapt,shall,nice_to_have,mandatory,145,145,0,0,145,180,80.55555555555556
glm-5.3,mlm_tapt,shall,optional,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,mlm_tapt,shall,optional,optional,179,0,0,0,0,180,0.0
glm-5.3,mlm_tapt,shall,optional,recommended,0,0,0,0,0,180,0.0
glm-5.3,mlm_tapt,shall,optional,mandatory,1,1,0,0,1,180,0.5555555555555556
glm-5.3,mlm_tapt,shall,recommended,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,mlm_tapt,shall,recommended,optional,0,0,0,0,0,180,0.0
glm-5.3,mlm_tapt,shall,recommended,recommended,179,0,0,0,0,180,0.0
glm-5.3,mlm_tapt,shall,recommended,mandatory,1,1,0,0,1,180,0.5555555555555556
glm-5.3,mlm_tapt,shall,mandatory,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,mlm_tapt,shall,mandatory,optional,0,0,0,0,0,180,0.0
glm-5.3,mlm_tapt,shall,mandatory,recommended,0,0,0,0,0,180,0.0
glm-5.3,mlm_tapt,shall,mandatory,mandatory,180,0,0,0,0,180,0.0
glm-5.3,nice,must,nice_to_have,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,nice,must,nice_to_have,optional,37,37,0,37,0,180,20.555555555555557
glm-5.3,nice,must,nice_to_have,recommended,24,24,0,0,24,180,13.333333333333334
glm-5.3,nice,must,nice_to_have,mandatory,119,119,0,0,119,180,66.11111111111111
glm-5.3,nice,must,optional,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,nice,must,optional,optional,180,0,0,0,0,180,0.0
glm-5.3,nice,must,optional,recommended,0,0,0,0,0,180,0.0
glm-5.3,nice,must,optional,mandatory,0,0,0,0,0,180,0.0
glm-5.3,nice,must,recommended,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,nice,must,recommended,optional,0,0,0,0,0,180,0.0
glm-5.3,nice,must,recommended,recommended,180,0,0,0,0,180,0.0
glm-5.3,nice,must,recommended,mandatory,0,0,0,0,0,180,0.0
glm-5.3,nice,must,mandatory,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,nice,must,mandatory,optional,0,0,0,0,0,180,0.0
glm-5.3,nice,must,mandatory,recommended,0,0,0,0,0,180,0.0
glm-5.3,nice,must,mandatory,mandatory,180,0,0,0,0,180,0.0
glm-5.3,nice,shall,nice_to_have,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,nice,shall,nice_to_have,optional,44,44,0,44,0,180,24.444444444444443
glm-5.3,nice,shall,nice_to_have,recommended,27,27,0,0,27,180,15.0
glm-5.3,nice,shall,nice_to_have,mandatory,109,109,0,0,109,180,60.55555555555556
glm-5.3,nice,shall,optional,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,nice,shall,optional,optional,179,0,0,0,0,180,0.0
glm-5.3,nice,shall,optional,recommended,0,0,0,0,0,180,0.0
glm-5.3,nice,shall,optional,mandatory,1,1,0,0,1,180,0.5555555555555556
glm-5.3,nice,shall,recommended,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,nice,shall,recommended,optional,0,0,0,0,0,180,0.0
glm-5.3,nice,shall,recommended,recommended,180,0,0,0,0,180,0.0
glm-5.3,nice,shall,recommended,mandatory,0,0,0,0,0,180,0.0
glm-5.3,nice,shall,mandatory,nice_to_have,0,0,0,0,0,180,0.0
glm-5.3,nice,shall,mandatory,optional,0,0,0,0,0,180,0.0
glm-5.3,nice,shall,mandatory,recommended,0,0,0,0,0,180,0.0
glm-5.3,nice,shall,mandatory,mandatory,180,0,0,0,0,180,0.0
glm-5.3-flash,all,all,nice_to_have,nice_to_have,1,0,0,0,0,719,0.0
glm-5.3-flash,all,all,nice_to_have,optional,86,86,0,86,0,719,11.96105702364395
glm-5.3-flash,all,all,nice_to_have,recommended,574,574,0,0,574,719,79.83310152990265
glm-5.3-flash,all,all,nice_to_have,mandatory,58,58,0,0,58,719,8.066759388038943
glm-5.3-flash,all,all,optional,nice_to_have,0,0,0,0,0,720,0.0
glm-5.3-flash,all,all,optional,optional,713,0,0,0,0,720,0.0
glm-5.3-flash,all,all,optional,recommended,0,0,0,0,0,720,0.0
glm-5.3-flash,all,all,optional,mandatory,7,6,1,0,6,720,0.8333333333333334
glm-5.3-flash,all,all,recommended,nice_to_have,0,0,0,0,0,720,0.0
glm-5.3-flash,all,all,recommended,optional,0,0,0,0,0,720,0.0
glm-5.3-flash,all,all,recommended,recommended,692,0,0,0,0,720,0.0
