model,item_context,stratum,run_id,n,n_text_readable,label_accuracy,strict_text_strengthening,strict_text_strengthening_ci_low,strict_text_strengthening_ci_high,strict_text_strengthening_seed_ci_low,strict_text_strengthening_seed_ci_high,broad_text_strengthening,broad_text_strengthening_ci_low,broad_text_strengthening_ci_high,broad_text_strengthening_seed_ci_low,broad_text_strengthening_seed_ci_high,bootstrap_ci_cluster_field,weak_strict_text_strengthening_90,estimate_cohort,n_failed_items,n_unclassified_items
glm-5.3,bare,weak_intent,full-20260912-150752-31b933cd,180,180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,item_id,0.4111111111111111,full_arm_descriptive,0,0
glm-5.3,document,weak_intent,full-20260912-152522-d815b750,180,180,0.8833333333333333,0.9666666666666667,0.9388888888888889,0.9888888888888889,0.9388888888888889,0.9888888888888889,0.9666666666666667,0.9388888888888889,0.9888888888888889,0.9388888888888889,0.9888888888888889,item_id,0.42777777777777776,full_arm_descriptive,0,0
glm-5.3,bare,marker_M,full-20260912-150752-31b933cd,620,620,1.0,0.25,0.2161290322580645,0.2839112903225806,0.25,0.25,0.25,0.2161290322580645,0.2839112903225806,0.25,0.25,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_M,full-20260912-152522-d815b750,620,618,0.9773462783171522,0.24271844660194175,0.21035598705501618,0.2766990291262136,0.23375676187669706,0.25040394289241763,0.24271844660194175,0.21035598705501618,0.2766990291262136,0.23375676187669706,0.25040394289241763,item_id,,full_arm_descriptive,2,0
glm-5.3,bare,marker_O,full-20260912-150752-31b933cd,100,100,1.0,0.25,0.17,0.34,0.25,0.25,0.25,0.17,0.34,0.25,0.25,item_id,,full_arm_descriptive,0,0
glm-5.3,document,marker_O,full-20260912-152522-d815b750,100,100,0.75,0.25,0.16,0.33,0.25,0.25,0.25,0.16,0.33,0.25,0.25,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,modality_mandatory,full-20260912-150752-31b933cd,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,modality_mandatory,full-20260912-152522-d815b750,180,180,0.9555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,bare,modality_recommended,full-20260912-150752-31b933cd,180,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,0,0
glm-5.3,document,modality_recommended,full-20260912-152522-d815b750,180,178,0.9606741573033708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,item_id,,full_arm_descriptive,2,0
